iter	Passed	Remaining
0	2234	221231
1	4533	222144
2	7025	227167
3	9315	223569
4	11655	221447
5	14137	221494
6	16460	218691
7	18969	218146
8	21227	214629
9	23775	213980
10	26243	212336
11	28746	210805
12	31295	209442
13	33836	207850
14	36317	205801
15	38849	203957
16	41260	201449
17	43784	199463
18	46094	196507
19	48565	194262
20	51055	192065
21	53552	189866
22	56028	187573
23	58572	185480
24	61070	183212
25	63542	180850
26	66038	178548
27	68536	176235
28	71078	174018
29	73607	171751
30	75950	169050
31	78423	166650
32	80886	164223
33	83383	161861
34	85887	159506
35	88429	157208
36	90884	154749
37	93400	152390
38	95942	150063
39	98511	147767
40	101007	145351
41	103495	142922
42	105962	140462
43	108519	138116
44	111044	135720
45	113525	133269
46	116056	130872
47	118604	128488
48	121110	126053
49	123454	123454
50	125979	121039
51	128541	118653
52	131037	116203
53	133521	113740
54	136138	111386
55	138617	108913
56	141154	106484
57	143629	104007
58	146122	101542
59	148646	99097
60	151151	96637
61	153676	94188
62	156164	91715
63	158726	89283
64	161239	86821
65	163774	84368
66	166272	81895
67	168782	79427
68	171270	76947
69	173748	74463
70	176211	71973
71	178700	69494
72	181160	67004
73	183631	64519
74	186145	62048
75	188703	59590
76	191234	57121
77	193748	54647
78	196256	52169
79	198792	49698
80	201242	47204
81	203778	44731
82	206307	42255
83	208795	39770
84	211309	37289
85	213700	34788
86	216252	32313
87	218699	29822
88	221185	27337
89	223564	24840
90	226038	22355
91	228531	19872
92	231015	17388
93	233510	14904
94	235988	12420
95	238452	9935
96	241038	7454
97	243567	4970
98	246106	2485
99	248531	0
